24-06-24 00:01:13.391 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
24-06-24 00:01:13.505 [main] INFO  c.p.u.H.HotalServicesApplication - Starting HotalServicesApplication using Java 21.0.2 with PID 11772 (C:\Users\tribhuvan pal\Desktop\Microservices_Practice\HotalServices - instance01\target\classes started by tribhuvan pal in C:\Users\tribhuvan pal\Desktop\Microservices_Practice\HotalServices - instance01) 
24-06-24 00:01:13.507 [main] INFO  c.p.u.H.HotalServicesApplication - The following 1 profile is active: "default" 
24-06-24 00:01:13.634 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8085 
24-06-24 00:01:13.635 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=HotalServices, profiles=[default], label=null, version=5e9d291b660823fda0ec0cb23490a99e2b4115da, state=null 
24-06-24 00:01:16.036 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
24-06-24 00:01:16.252 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 201 ms. Found 1 JPA repository interface. 
24-06-24 00:01:16.742 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=848777c4-09c3-366d-99ae-d2411572afdf 
24-06-24 00:01:17.610 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead. 
24-06-24 00:01:17.617 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies. 
24-06-24 00:01:18.332 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http) 
24-06-24 00:01:18.356 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"] 
24-06-24 00:01:18.360 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
